Actors,Awards,Country,Director,Genre,Language,Metascore,Plot,Poster,Rated,Released,Response,Runtime,Title,Type,Writer,Year,id,imdbID,imdbRating,imdbVotes
"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",1 win & 1 nomination.,USA,Victor Salva,"Drama, Fantasy, Mystery",English,N/A,"When sheriff Barnum investigates the death of an elderly rural resident, he discovers a teenage grandson living in the basement. Raised by his grandparents, he has experienced the world only through books, never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However, not all are afraid. Some begin to view his potential and gifts with wonderment.",http://ia.media-imdb.com/images/M/MV5BMTM2NDczNjYwMV5BMl5BanBnXkFtZTYwNTI3Mjc4._V1_SX300.jpg,PG-13,27 Oct 1995,True,111 min,Powder,movie,Victor Salva,1995,24,tt0114168,6.5,"23,715"
"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Won 1 Oscar. Another 30 wins & 27 nominations.,USA,Mike Figgis,"Drama, Romance","English, Russian",82,"Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with.",http://ia.media-imdb.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,R,09 Feb 1996,True,111 min,Leaving Las Vegas,movie,"John O'Brien (novel), Mike Figgis (screenplay)",1995,25,tt0113627,7.6,"91,469"
"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",3 nominations.,"USA, UK",Oliver Parker,"Drama, Romance",English,N/A,"Iago convinces Othello, The Moor of Venice that his wife, Desdemona has been unfaithful. Iago is an evil, manipulative character with his own agenda. A plot of jealousy and rage transpires in this classic Shakespearean tale.",http://ia.media-imdb.com/images/M/MV5BMTIxMzA2ODk2NV5BMl5BanBnXkFtZTcwMzQ4ODIyMQ@@._V1_SX300.jpg,R,19 Jan 1996,True,123 min,Othello,movie,"Oliver Parker (adaptation), William Shakespeare (play)",1995,26,tt0114057,7.0,"7,241"
"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",1 nomination.,USA,Lesli Linka Glatter,"Comedy, Drama",English,N/A,"Roberta, Teeny, Samantha and Chrissy have been busy growing up, but they always remembered the promise they made to be there for each other. Now they're together again to relive the greatest summer of their lives.",http://ia.media-imdb.com/images/M/MV5BMTY4MjMwNzA1NF5BMl5BanBnXkFtZTcwNzEwNTYyMQ@@._V1_SX300.jpg,PG-13,20 Oct 1995,True,100 min,Now and Then,movie,I. Marlene King,1995,27,tt0114011,6.7,"21,002"
"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",7 wins & 2 nominations.,"UK, USA, France",Roger Michell,"Drama, Romance",English,N/A,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",http://ia.media-imdb.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_SX300.jpg,PG,27 Sep 1995,True,107 min,Persuasion,movie,"Jane Austen (novel), Nick Dear (screenplay)",1995,28,tt0114117,7.7,"8,758"
"Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon",2 wins & 11 nominations.,"France, Germany, Spain","Marc Caro, Jean-Pierre Jeunet","Fantasy, Sci-Fi","French, Cantonese",73,"Krank (Daniel Emilfork), who cannot dream, kidnaps young children to steal their dreams. One (Ron Perlman), a former whale hunter who is as strong as a horse, sets forth to search for Denree, his little brother who was kidnapped by Krank's men. Helped by young Miette (Judith Vittet), he soon arrives in La Cite des Enfants Perdus (The City of Lost Children).",http://ia.media-imdb.com/images/M/MV5BMTg1OTk5OTM5Nl5BMl5BanBnXkFtZTcwNjM5MzI4OA@@._V1_SX300.jpg,R,15 Dec 1995,True,112 min,The City of Lost Children,movie,"Gilles Adrien, Jean-Pierre Jeunet, Marc Caro, Gilles Adrien (dialogue), Guillaume Laurant (additional dialogue), Jean-Pierre Jeunet (additional dialogue)",1995,29,tt0112682,7.7,"54,490"
"Li Gong, Baotian Li, Wang Xiaoxiao, Xuejian Li",Nominated for 1 Oscar. Another 5 wins & 3 nominations.,"France, China",Yimou Zhang,"Crime, Drama",Mandarin,N/A,"Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal.",http://ia.media-imdb.com/images/M/MV5BMTgyMzAwOTQyNF5BMl5BanBnXkFtZTcwNDU1MjgxMQ@@._V1_SX300.jpg,R,22 Dec 1995,True,108 min,Shanghai Triad,movie,"Bi Feiyu, Li Xiao (novel)",1995,30,tt0115012,7.2,"4,140"
"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",5 wins & 5 nominations.,USA,John N. Smith,"Biography, Drama",English,47,"Louanne Johnson is an ex-marine, hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend, also teacher in the school, got the temporary job for her. After a terrible reception from the students, she tries unconventional methods of teaching (using karate, Bob Dylan lyrics etc) to gain the trust of the students.",http://ia.media-imdb.com/images/M/MV5BMTI3NDIyMjIyM15BMl5BanBnXkFtZTYwMzA3NjU5._V1_SX300.jpg,R,11 Aug 1995,True,99 min,Dangerous Minds,movie,"LouAnne Johnson (book), Ronald Bass (screenplay)",1995,31,tt0112792,6.4,"37,045"
"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Nominated for 2 Oscars. Another 9 wins & 18 nominations.,USA,Terry Gilliam,"Mystery, Sci-Fi, Thriller","English, French",74,"An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert.",http://ia.media-imdb.com/images/M/MV5BMjI4MDIxNjk2Ml5BMl5BanBnXkFtZTcwMTA3Njk3OA@@._V1_SX300.jpg,R,05 Jan 1996,True,129 min,Twelve Monkeys,movie,"Chris Marker (film La Jetée), David Webb Peoples (screenplay), Janet Peoples (screenplay)",1995,32,tt0114746,8.1,"446,779"
"Craig Sheffer, Tom Hulce, Elizabeth McGovern, Val Kilmer",N/A,"USA, France",Jean-Jacques Annaud,"Adventure, Romance",English,N/A,"In 1920's South America a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.",http://ia.media-imdb.com/images/M/MV5BMTc3ODY1MjA3OF5BMl5BanBnXkFtZTcwODgzOTgyMQ@@._V1_SX300.jpg,G,18 Sep 1996,True,40 min,Wings of Courage,movie,"Alain Godard, Jean-Jacques Annaud",1995,33,tt0114952,6.6,471
"Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Won 1 Oscar. Another 18 wins & 22 nominations.,"Australia, USA",Chris Noonan,"Comedy, Drama, Family",English,83,"Farmer Hoggett wins a runt piglet at a local fair and young Babe, as the piglet decides to call himself, befriends and learns about all the other creatures on the farm. He becomes special friends with one of the sheepdogs, Fly. With Fly's help, and Farmer Hoggett's intuition, Babe embarks on a career in sheepherding with some surprising and spectacular results.",http://ia.media-imdb.com/images/M/MV5BMTIwNzY2OTIzN15BMl5BanBnXkFtZTcwNjcxODAzMQ@@._V1_SX300.jpg,G,04 Aug 1995,True,91 min,Babe,movie,"Dick King-Smith (novel), George Miller (screenplay), Chris Noonan (screenplay)",1995,34,tt0112431,6.8,"91,870"
"Emma Thompson, Jonathan Pryce, Steven Waddington, Samuel West",Nominated for 1 BAFTA Film Award. Another 7 wins & 7 nominations.,"UK, France",Christopher Hampton,"Biography, Drama",English,N/A,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's sexual orientation as with the fact that he was a conscientious objector.",http://ia.media-imdb.com/images/M/MV5BMTI5NjcxMjc4MV5BMl5BanBnXkFtZTcwOTEzMDYxMQ@@._V1_SX300.jpg,R,10 Nov 1995,True,121 min,Carrington,movie,"Christopher Hampton, Michael Holroyd (book)",1995,35,tt0112637,6.9,"4,351"
"Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Won 1 Oscar. Another 20 wins & 19 nominations.,"UK, USA",Tim Robbins,"Crime, Drama",English,80,"A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation.",http://ia.media-imdb.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_SX300.jpg,R,02 Feb 1996,True,122 min,Dead Man Walking,movie,"Helen Prejean (book), Tim Robbins",1995,36,tt0112818,7.6,"71,231"
"Peter Reznick, John McDonough, Avi Hoffman, Victor Steinbach",N/A,USA,Stephen Low,"Adventure, Drama, Family","English, Russian",N/A,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",http://ia.media-imdb.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_SX300.jpg,G,20 Oct 1995,True,51 min,Across the Sea of Time,movie,Andrew Gellis,1995,37,tt0112286,6.6,203
